                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.72668,                0.60113,                 1.0054,                0.99613,                0.98967,                0.99424,                0.86521,                0.55578,                0.52541,                0.88769,             0.00049527,             0.00049527,             0.00049527
                     73,                0.71404,                0.56886,                0.96347,                0.98902,                0.99089,                 0.9942,                0.86383,                0.54623,                0.51889,                0.88405,             0.00047876,             0.00047876,             0.00047876
                     74,                0.70222,                0.59366,                0.97641,                0.98841,                0.99068,                0.99461,                0.86434,                0.54387,                0.50788,                0.88135,             0.00046226,             0.00046226,             0.00046226
                     75,                0.72454,                0.59232,                0.97384,                0.98251,                0.99665,                0.99482,                0.86696,                 0.5402,                 0.4981,                0.87875,             0.00044576,             0.00044576,             0.00044576
                     76,                0.67121,                0.54473,                0.95477,                0.98786,                0.99795,                0.99481,                0.86678,                0.52958,                 0.4894,                0.87356,             0.00042925,             0.00042925,             0.00042925
                     77,                0.65706,                0.54866,                0.94477,                0.99607,                0.99553,                 0.9948,                0.87142,                0.52043,                0.48516,                0.87185,             0.00041275,             0.00041275,             0.00041275
                     78,                0.64673,                0.57741,                0.97184,                0.99574,                0.99756,                0.99478,                0.86636,                0.52828,                0.48696,                0.87437,             0.00039625,             0.00039625,             0.00039625
                     79,                0.66609,                0.54223,                0.95039,                 0.9959,                0.99453,                 0.9948,                0.87032,                0.53833,                0.48949,                0.87835,             0.00037974,             0.00037974,             0.00037974
                     80,                 0.7318,                0.57874,                0.97184,                0.98809,                0.99512,                0.99485,                0.87598,                0.52382,                0.48995,                0.87561,             0.00036324,             0.00036324,             0.00036324
                     81,                0.64918,                0.51801,                0.93287,                0.99006,                0.99139,                0.99485,                0.87309,                0.52638,                0.49012,                 0.8764,             0.00034674,             0.00034674,             0.00034674
                     82,                0.68535,                0.56336,                0.98391,                0.99388,                0.99679,                 0.9949,                0.87161,                0.52744,                0.47932,                0.87603,             0.00033023,             0.00033023,             0.00033023
                     83,                0.63828,                  0.529,                 0.9522,                0.99346,                0.99909,                0.99495,                0.87772,                0.51075,                0.46547,                0.86864,             0.00031373,             0.00031373,             0.00031373
                     84,                0.62412,                0.52052,                0.93584,                0.99387,                0.99891,                0.99495,                0.89278,                0.49349,                0.45002,                0.85872,             0.00029723,             0.00029723,             0.00029723
                     85,                0.62508,                0.51094,                0.94478,                0.98984,                      1,                0.99498,                0.89528,                0.48988,                0.44541,                0.85723,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.6323,                0.50916,                 0.9376,                0.98979,                      1,                0.99498,                0.89245,                0.48931,                0.44282,                0.85648,             0.00026422,             0.00026422,             0.00026422
                     87,                0.61433,                0.52446,                0.94444,                 0.9907,                0.99904,                0.99498,                0.88922,                0.48544,                0.44071,                0.85454,             0.00024772,             0.00024772,             0.00024772
                     88,                0.62508,                0.53162,                0.95176,                0.99576,                0.99903,                0.99498,                0.89078,                0.46798,                0.43966,                 0.8481,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.6317,                0.50292,                0.94135,                0.99638,                      1,                0.99498,                0.90178,                0.45586,                0.43822,                0.84441,             0.00021471,             0.00021471,             0.00021471
                     90,                0.61282,                0.52102,                0.95035,                0.99639,                      1,                0.99498,                0.90358,                0.44748,                0.43612,                0.84202,             0.00019821,             0.00019821,             0.00019821
                     91,                0.62321,                 0.6258,                0.94256,                0.99626,                      1,                0.99498,                0.90781,                0.44526,                0.43522,                0.84204,              0.0001817,              0.0001817,              0.0001817
                     92,                0.62573,                0.58171,                0.92666,                0.99955,                0.99735,                  0.995,                0.90076,                0.46496,                0.44322,                 0.8466,              0.0001652,              0.0001652,              0.0001652
                     93,                0.58477,                0.54928,                0.90136,                 0.9961,                0.99756,                  0.995,                0.89245,                0.47879,                0.44993,                0.84942,              0.0001487,              0.0001487,              0.0001487
                     94,                0.55349,                0.51625,                0.88366,                0.99676,                 0.9958,                  0.995,                0.89127,                0.48189,                0.45518,                0.84959,             0.00013219,             0.00013219,             0.00013219
                     95,                0.56204,                0.52506,                0.90061,                0.99691,                0.99512,                  0.995,                0.89355,                0.47875,                0.45816,                0.84826,             0.00011569,             0.00011569,             0.00011569
                     96,                0.53503,                0.52685,                0.89015,                0.99792,                0.99512,                  0.995,                  0.896,                0.46579,                  0.457,                0.84328,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.5298,                0.49741,                0.87199,                0.99789,                0.99512,                  0.995,                0.89705,                0.46383,                0.45511,                0.84233,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.53959,                0.48232,                0.87977,                0.99798,                0.99512,                  0.995,                0.89736,                0.46162,                0.45208,                0.84146,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.53275,                0.49957,                0.89624,                0.99786,                0.99512,                  0.995,                0.89544,                0.45871,                0.44895,                0.84025,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 0.5238,                0.48818,                 0.8718,                0.99801,                0.99512,                  0.995,                0.89779,                0.45146,                0.44271,                 0.8379,             3.3173e-05,             3.3173e-05,             3.3173e-05
